日期	流水編號	代號	名稱	發布日期時間	新聞標題	新聞內容	RTIME
20041210	WEB1081	1201	味全	2004/12/10  17:02:16	味全公司11月營收7.43億元年減1.12%  1-11月達89.52億元	"味全公司(1201)11月營收(單位:千元)

項目            11月營收      1-11月營收
本年度          743,192      8,952,132
去年同期        751,633      9,488,511
增減金額         -8,441       -536,379
增減(％)          -1.12          -5.65
"	
20041220	WEB0321	1201	味全	2004/12/20  17:01:02	味全展現新活力 魏應充蘇守斌變裝主持聖誕點燈	"老牌食品廠味全 (1201-TW)今(20)日由董事長魏應
充與總經理蘇守斌以變裝主持聖誕節點燈儀式，及員工
交換禮物，兩人穿著厚重戲服與全體員工同樂，為此一
老牌公司注入歡樂的年節氣氛。

    同時，味全今年進行經營的銳意革新之下，預估稅
後盈餘約達 1.5億元，EPS也達0.3元，較去(2003)年的
EPS 0.15元倍增。

    同時，蘇守斌也指出，在味全全體員工的努力之下
，獲利改善，預計規劃中的尾牙聚會，整體預算將較上
一年增加200-300萬元。

    魏應充在主持點燈儀式之後指出，希望員工融入味
全的大家庭並且公司將全力創造快樂的工作及學習環境
。

"	
20041221	WEB0249	1201	味全	2004/12/21  13:10:40	味全革新有成 手握合作案 股價擺尾爆量 直衝漲停	"味全 (1201-TW)今(2004)年經營革新有成，挾業績
題材，今(21)日尾盤爆量急拉，一舉衝破月線、季線、
半年線，攻上11.75元漲停，並創波段新高。

    味全今年經營革新有成，總經理蘇守斌認為，台灣
市場已高度國際化，入 WTO後進口關稅下滑，連帶原物
料關稅也跟著向下修正，這對國內廠商有利；且本土食
品品牌在口味、市場熟悉度的優勢下，反而會成為國外
大廠拉攏合作的對象，他表示，目前味全即有 3個合作
案正在洽談，將有助於味全轉型為行銷公司。

    在今年進行經營的銳意革新下，預估味全稅後盈餘
上看 1.5億元， EPS也達0.3元，較去年的EPS 0.5元倍
增。

    展望明年後市，蘇守斌認為，大陸龐大的需求將使
全球原物料短缺，即使油價回穩下跌，但原物料的市場
缺口在短期內恐仍無法被滿足；目前包括味精、濃縮果
汁等價格上揚，將使生產成本將墊高3-5%，佔售價比重
約1-2%，公司內部預期明年原物料行情仍將維持高檔，
在考量到市場競爭加劇、轉嫁不易下，決定編列入年度
預算的成本中。

"	
20050110	WEB1515	1201	味全	2005/01/10  18:37:37	味全公司12月營收7.25億元年增6.00%  1-12月達96.77億元	"味全公司(1201)12月營收(單位:千元)

項目            12月營收      1-12月營收
本年度          724,958      9,677,090
去年同期        679,527     10,168,038
增減金額         45,431       -490,948
增減(％)           6.69          -4.83
"	
20050131	WEB0451	1201	味全	2005/01/31  17:18:54	味全公司董事會通過經由綜合持股100%之海外子公司維京群島味全國際有限公司投資設立兩家有限公司	"味全公司(1201-TW)：公告本公司董事會通過經由綜合持股100%之海外子公司
維京群島味全國際有限公司,投資設立兩家有限公司在案

1.事實發生日:2005/01/28

2.本次新增（減少）投資方式:
設立公司:A.杭州味全生技有限公司(暫定)及B.味全上海外食食品供應有限公司
(暫定)
設立地點:A.杭州及B.上海

3.交易數量、每單位價格及交易總金額:
交易總金額:A.美金6,000,000元(依1/28牌告匯率換算為新台幣190,440,000元)
           B.美金6,000,000元(依1/28牌告匯率換算為新台幣190,440,000元)

4.本次新增投資大陸被投資公司之公司名稱:
A.杭州味全生技有限公司(暫定)及B.味全上海外食食品供應有限公司(暫定)

5.前開大陸被投資公司之實收資本額:
不適用

6.前開大陸被投資公司本次擬新增資本額:
A.B各為美金6,000,000元
(依1/28牌告匯率換算各為新台幣190,440,000元)

7.前開大陸被投資公司主要營業項目:
A.奶粉.生技食品
B.西點.麵包

8.前開大陸被投資公司最近年度財務報表會計師意見型態:
不適用

9.前開大陸被投資公司最近年度財務報表淨值:
不適用

10.前開大陸被投資公司最近年度財務報表損益金額:
不適用

11.迄目前為止，對前開大陸被投資公司之實際投資金額:
不適用

12.迄目前為止，投審會核准赴大陸地區投資總額（含本次投資）:
873,630仟元

13.迄目前為止，投審會核准赴大陸地區投資總額（含本次投資）占最近期
財務報表實收資本額之比率:
17.26%

14.迄目前為止，投審會核准赴大陸地區投資總額（含本次投資）占最近期
財務報表總資產之比率:
7.25%

15.迄目前為止，投審會核准赴大陸地區投資總額（含本次投資）占最近期
財務報表股東權益之比率:
22.8%

16.迄目前為止，實際赴大陸地區投資總額:
487,065仟元

17.迄目前為止，實際赴大陸地區投資總額占最近期財務報表實收資本額之
比率:
9.6%

18.迄目前為止，實際赴大陸地區投資總額占最近期財務報表總資產之比率:
4%

19.迄目前為止，實際赴大陸地區投資總額占最近期財務報表股東權益之比率:
12.7%

20.最近三年度認列投資大陸損益金額:
-5,556仟元

21.最近三年度獲利匯回金額:
31,671仟元

22.交易相對人及其與公司之關係:
子公司

23.交易相對人為實質關係人者，並應公告選定關係人為交易對象之原因及
前次移轉之所有人（含與公司及相對人間相互之關係）、移轉日期及金額:
子公司

24.交易標的最近五年內所有權人曾為公司之實質關係人者，尚應公告關係
人之取得及處分日期、價格及交易當時與公司之關係:
不適用

25.處分利益（或損失）:
不適用

26.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
1.投資投入期間:預計為94/2月~5月
2.交易總金額:A.美金6,000,000元
             B.美金6,000,000元

27.本次交易之決定方式、價格決定之參考依據及決策單位:
本公司董事會

28.經紀人:
不適用

29.取得或處分之具體目的:
A.為發展大陸奶粉與生技食品事業,經營項目為奶粉.生技食品
B.為發展中國烘焙及餐飲外食的食品事業,經營項目為西點.麵包

30.本次交易董事有異議:否

31.本次交易會計師出具非合理性意見:否

"	
20050201	WEB0505	1201	味全	2005/02/01  18:53:28	味全補充董事會通過由海外子公司維京群島味全國際投資設立2家有限公司案	"味全公司(1201-TW)：補充公告本公司董事會通過經由綜
合持股100%之海外子公司維京群島味全國際有限公司,投
資設立兩家有限公司案

1.事實發生日:94/01/28

2.子公司名稱:A.杭州味全生技有限公司(暫定)及

B.味全上海外食食品供應有限公司(暫定)

3.子公司主要營業項目:A.奶粉、生技食品及B.西點、麵
包

4.母公司分別持有子公司之股數、投資金額、持股比例
及權利受限情形:A.不適用、投資金額US$6,000,000、持
股比例100%、無。B.不適用、投資金額US$6,000,000、
持股比例100%、無

5.迄事實發生日為止，母公司長短期有價證券投資（含
本次投資）占公司最近期財務報表中總資產及股東權益
之比例:7.25%、22.8%

6.最近期財務報表中營運資金數額:NTD$687,582(仟元)
7.投資子公司之具體目的:A.為發展大陸奶粉與生技食品
事業,經營項目為奶粉、生技食品。B.為發展中國烘焙及
餐飲外食的食品事業,經營項目為西點、麵包

8.其他應敘明事項:係100%持有之有限公司

"	
20050214	WEB0861	1201	味全	2005/02/14  16:33:22	味全公司 1月營收6.69億元年增5.00%  1-1月達6.69億元	"味全公司(1201)1月營收(單位:千元)

項目            1月營收      1-1月營收
本年度          669,370        669,370
去年同期        636,947        636,947
增減金額         32,423         32,423
增減(％)           5.09           5.09
"	
20050302	WEB0349	1201	味全	2005/03/02  15:44:10	生技產業 賺錢保證？ 生物科技當紅 全民總動員	"後工業化的台灣社會，年齡結構逐漸走向老年化，
消費習慣也隨著社會結構的變化而出現轉變。如何保健
養生成了街坊媒體當紅的話題，在消費市場的支持下，
藥品及生物科技的研究及發展，更是以其未來可觀的報
酬想像空間，吸引資本市場的資金流向。不論是政府或
是民間企業，都將生物科技以及醫藥研發，視為本世紀
最具有發展潛力的重要產業。

◆政府推動 開花結果

    因此，自二○○○年起，由政府推動的生計產業發
展政策，帶領民間企業投入這波生技產業的淘金潮，在
去年起已經陸續開花結果。行政院生技指導委員會規劃
行政院開發基金、交通、中華開發及台灣等三家工業銀
行，以及台糖、中油、台鹽(1737)、台肥(1722)等國營
事業，共同推動目標達1500億元的生技產業投資案，並
都繳出了亮麗的成績單。其中包括台鹽以及台糖，因為
徹底轉型，走向生技產業，獲利表現相當可觀，而吸引
投資大眾的注目。

    以目前已民營化的台肥來說，則推出家用簡易有機
肥料，投入微生物產品開發；至於中油，則由原本處理
油污染的生技研究團隊，製造出「甲殼素」營養食品；
不管本業經營情況如何，但國營事業似乎已有全面投入
營養保健食品及生物科技領域的跡象，未來競爭情況將
趨於激烈。

    而不讓政府支持的國營企業專美於前，不少民間的
食品公司也看準了此一市場新商機，大舉進軍針對保健
養生的食品市場。業者指出，目前台灣保健食品市場只
有200億元上下，未來成長空間極大。因此，民間的企業
包括味全(1201)、愛之味(1217)及卜蜂(1215)等食品大
廠，以及農林(2913)都積極轉型，採取多角化經營策略
，紛紛斥資投入保健食品市場。

轉載自【投資情報周刊】文／陳明宗

"	
20050308	WEB0369	1201	味全	2005/03/08  14:35:17	反分裂法內文宣告 中概股冷靜反應 呈現量縮盤整格局	"在中國反分裂法於今 (8)日宣告內容全文後，因當
中並未涉及強烈用詞，稍稍緩解兩岸政治緊張關係，而
具中概色彩的各股也並未作出太大反應，但尾盤仍出現
賣壓稍稍摜低股價，僅統一(1216-TW)、味全(1201-TW)
、大霸電(5304-TW)及少數幾檔收紅。

    中國於反分裂內容中指出，在堅持一個中國原則的
基礎上，什麼問題都可以談，並且強調台灣是中國的一
部份，絕不允許台獨分裂勢力以任何名義、任何方式把
台灣從中國分裂出去，否則將採取非和平手段，但仍會
保護大陸台商的生命及財產安全。

    相對於今日大盤走跌，中概股呈現量縮盤整的格局
，手機股如綠點 (3007-TW)、大霸電有較大漲幅，寶成
(9904-TW)、正新(2105-TW)、建大 (2106-TW)及水泥股
則維持平盤上下震盪，整體反應幅度並不大，但尾盤仍
有賣壓，股價多數收黑。

"	
20050308	WEB0629	1201	味全	2005/03/08  17:43:47	頂新集團投資1200萬美元 康師傅進駐蘭州設廠	"味全(1201-TW)母公司頂新集團投資1200萬美元，
將在大陸蘭州市城關區所屬九洲的開發區內建「康師
傅」速食麵蘭州分廠，廠址占地約12公畝。         

     據新華網報導，頂新預計在蘭洲修建12條速食麵
生產線，可望提供1500個就業機，產能開出後，預估年
產值預計可達 6億元人民幣。

    同時，考慮到甘肅及西部地區少數民族居住相對集
中的實際，康師傅蘭州分廠還將開闢專線生產回族等少
數民族食用的清真速食麵。

    頂新集團目前在大陸的營業產品以速食麵、飲品、
糕餅為主，2004年銷售額已超過200億元人民幣，在大陸
20餘城市共有速食麵生產線120條。

"	
20050310	WEB0325	1201	味全	2005/03/10  10:33:47	味全公司 2月營收5.47億元年減11.18%  1-2月達12.17億元	"味全公司(1201)2月營收(單位:千元)

項目            2月營收      1-2月營收
本年度          547,472      1,216,842
去年同期        616,358      1,253,305
增減金額        -68,886        -36,463
增減(％)         -11.18          -2.91
"	
20050411	WEB0529	1201	味全	2005/04/11  17:20:10	味全公司6/28召開94年股東會常會  4/30-6/28停止過戶	"味全公司(1201-TW)：本公司召開94年股東會常會相關事宜

1.董事會決議日期:94/04/11

2.股東會召開日期:94/06/28

3.股東會召開地點:桃園縣楊梅鎮高榮里13鄰3之1號味全埔心牧場

4.召集事由:

(一)報告事項：
1.九十三年度營業報告書
2.九十三年度監察人查核報告書
3.九十三年度財務報表會計師查核報告書
4.九十三年度對外背書保證辦理情形報告
(二)承認及討論事項：
1.九十三年度營業報告書、財務報表等
2.九十三年度虧損撥補案
(三)臨時動議

5.停止過戶起迄日期:94/04/30~94/06/28

6.其他應敘明事項:無

"	
20050411	WEB0562	1201	味全	2005/04/11  17:45:06	味全去去年提前適用35號公報 資產減損計10.77億元	"繼中國人壽(2823-TW)到近來東元(1504-TW)、中視
(9928-TW) 為因應35號公報會計準則，而認列鉅額資產
減損後，老牌食品廠味全 (1201-TW)今天召開董事會，
通過2004年提前適用35號公報，認列資產減損損失合計
達 10.77億元；也因此2004年財報稅後虧損為9.64億元
，每股稅後虧損達 1.9元。

    由味全認列去年資產減損內容包括，資產減損達
6.91億元，加上認列長期股權投資損失3.86億元。合計
認列減損 10.77億元。

    同時，味全總經理蘇守斌指出，在味全提前適用35
號公報認列減損 10.77億元，但受惠於土地增值稅調降
的利益回沖，使淨值增加6.09億元，2004年期末淨值較
2003年減少3.23億元，每股淨值由 7.3元降為6.66元。

    味全2004年財報營收96.77億元，營業毛利33.28億
元，營業利益5.14億元，稅後虧損9.64億元，每股稅政
純損1.9元。

    蘇守斌指出，今年第 1季味全營運明顯好轉，估計
稅後盈餘達5408萬元，EPS約0.1元，較2003年成長100%
；同時，對第 2季的展望有極正面的看法，包括常溫飲
料等產品將大幅加強。

"	
20050411	WEB0673	1201	味全	2005/04/11  20:19:54	養通路大不易！味全松青超市虧損4500萬元決減增資	"味全 (1201-TW)投資持股達95.54%的松青超市，去
年稅後虧損4500萬元，味全今天董事會決議對松青超市
進行減增資的動作，以強化財務體質，味全總經理蘇守
斌指出，松青超市在與丸久超市合併後，2005年並將持
續對有發展潛力的據點進行經營升級的動作。

    松青超市成立於1987年，去年松青與丸久超市已經
完成合併，並以松青為存續公司，全台灣約有80個營運
據點，目前股本3.85億元，依味全財務長陸億華指出，
松青超市2004年稅後虧損約4500萬元。

    目前味全持有松青股權95.54%，帳面價值約3.48億
元。

    但味全今天則由董事會通過，對松青超市進行減資
8000萬元再增資8000萬元，藉由資金的挹注以強化經營
體質。

    事實上，過去由味全投資成立的市場通路不少，不
過，如安賓超商約略與統一企業 (1216-TW)投資統一超
商 (2912-TW)的時間相若，隨後統一企業則陸續引進投
資家樂福大賣場等通路，不過，味全的安賓超商卻是不
堪虧損而草草收場，但統一超在高清愿及徐重仁的的堅
持之下，連續虧損多年經營至今，並已成為統一的金雞
母。

    而目前味全體系對現有的松青超市經營，則在考量
市場通路的策略之下，愛護有加，蘇守斌指出，去年松
青超市天母據點進行升級之後，在營收上的的效果有極
大的突破，預計今年對松青超市預計也將進行7-10家據
點的經營升級。

    不過，蘇守斌表示，對於經營績效不佳的松青超市
據點，也將考量其績效評估加以裁汰。

"	
20050412	WEB0177	1201	味全	2005/04/12  10:01:48	35號公報伸魔爪 味全去年盈轉虧近10億 董座喊話股價抗跌	"味全 (1201-TW)因提前適用35號公報，認列高達10
億元的資產減損，導致去年稅後由盈轉虧損9.64億元；
但在董事長及總經理信心喊話下，今(12)日股價雖跳空
開低，隨即反彈震盪抗跌。

    味全去年認列資產減損6.91億元，加上長期股權投
資損失3.86億元，合計資產減損達 10.77億元，嚴重侵
蝕本業，造成去年營運由盈轉虧，稅後虧損9.64億元，
每股稅後虧損 1.9元。

    雖然如此，但在味全董事長魏應充與總經理蘇守斌
親自強調認列虧損並不影響本業經營，且認列的轉投資
事業會朝開發或處分的方向處理，以專注本業發展。 

    受到鉅額資產減損衝擊，味全今日股價跳空開低，
創波段新低；但在董座及總座信心喊話下，盤中小幅彈
升震盪抗跌。

"	
20050412	WEB0472	1201	味全	2005/04/12  18:46:49	味全補充94/4/11董事會決議事項	"味全公司(1201-TW)：補充說明本公司94/04/11董事會決
議事項公告

1.事實發生日:94/04/12

2.發生緣由:本公司於94/04/11召開董事會，茲針對決議
事項予以補充說明如下：壹、本公司於93年第4季提前適
用中華民國財務會計準則公報第三十五號「資產減損之
會計處理準則」認列資產減損，使93年度損失增加＄69
0,488仟元，減損原因如下：

一、表列於權益法認列之投資損失：

針對被投資公司資產減損部份，依持股比例認列投資損
失＄110,190仟元。二、表列於資產減損損失：

(1)針對本公司持有之土地及建築物帳面價值高出淨公平
價值部分，認列減損損失＄23,340仟元。

(2)針對本公司帳列處分固定資產之長期應收款項，因債
務人提供擔保之不動產抵押權價值依鑑價結果業已減損
，基於穩健保守原則，提列資產減損＄501,739仟元。

(3)針對本公司部分應收款項，依地上物抵押權價值評估
提列減損損失＄55,219仟元。

貳、本公司採成本法評價之部分被投資公司經評估其投
資價值已減損，且回復之希望甚小，故於93年度認列長
期股權投資損失＄386,179仟元。

3.因應措施:無

4.其他應敘明事項:無

"	
20050504	WEB0265	1201	味全	2005/05/04  13:07:02	頂新集團大啖零關稅水果商機 味全跳空大漲收復票面	"在大陸開放台灣10餘項農產品進口零關稅的大利多
下，頂新集團證實將透過味全 (1201-TW)在台採購水果
銷往大陸，味全股價今 (4)日大受激勵，早盤跳空開高
一度漲停，收復票面價。
    
    由於大陸今年 3月起已經開放台灣水果進口，頂新
集團預計在台灣透過味全採購時令水果如芒果鳳梨等，
循正常進出口運往大陸後，再透過旗下樂購量販店在大
陸的7大營業區及32個營業據點，預估6月左右，大陸的
民眾就可吃到台灣「零關稅」的時令水果了。

    味全股價在 4月處於10元以下低檔整理，外資單月
逢低買進4200多張，今日股價挾利多題材跳空上漲，一
舉脫離 5日線、月線的糾結處。

"	
20050510	WEB0266	1201	味全	2005/05/10  10:33:49	味全公司 4月營收7.80億元年增2.00%  1-4月達26.55億元	"味全公司(1201)4月營收(單位:千元)

項目            4月營收      1-4月營收
本年度          779,660      2,655,096
去年同期        759,610      2,713,799
增減金額         20,050        -58,703
增減(％)           2.64          -2.16
"	
20050609	WEB0961	1201	味全	2005/06/09  20:34:28	味全公司 5月營收8.75億元年增2.68%  1-5月達35.30億元	"味全公司(1201)5月營收(單位:千元)

項目            5月營收      1-5月營收
本年度          874,858      3,529,954
去年同期        852,032      3,565,831
增減金額         22,826        -35,877
增減(％)           2.68          -1.01
"	
20050628	WEB0269	1201	味全	2005/06/28  15:03:00	味全公司94年股東常會重要決議	"味全公司(1201-TW)：94年股東常會重要決議

1.股東會日期:94/06/28

2.重要決議事項:

一、承認93年度營業報告書、財務報表等。
二、承認93年度虧損撥補案。

3.年度財務報表之承認﹝請輸入是或否﹞:是

4.其他應敘明事項:無

"	
20050628	WEB0168	1201	味全	2005/06/28  09:59:06	味全去年財報EPS-1.9元 股東會通過不配發股利	"老牌食品廠味全 (1201-TW)今(28)日召開股東會，
通過2004年財報稅後虧損9.64元，每股稅後虧損 1.9元
；同時，股東會也通過不配發股利。

    味全2004年因提前適用35號公報，認列資產減損損
失合計達 10.77億元；也因此2004年財報稅後虧損為
9.64億元，每股稅後虧損達 1.9元。由味全認列去年資
產減損內容包括，資產減損達6.91億元，加上認列長期
股權投資損失3.86億元。合計認列減損10.77億元。

    味全2004年財報營收96.77億元，營業毛利33.28億
元，營業利益5.14億元，稅後虧損9.64億元，每股稅政
純損1.9元。

    但今年第 1季味全營運明顯好轉，首季財報稅後盈
餘達5386萬元， EPS為0.11元，較2003年同期的2704萬
元成長100%。

"	
20050708	WEB1401	1201	味全	2005/07/08  18:03:33	味全公司 6月營收9.34億元年增9.87%  1-6月達44.63億元	"味全公司(1201)6月營收(單位:千元)

項目            6月營收      1-6月營收
本年度          933,508      4,463,462
去年同期        849,676      4,415,507
增減金額         83,832         47,955
增減(％)           9.87           1.09
"	
20050810	WEB0930	1201	味全	2005/08/10  16:01:54	味全公司 7月營收10.50億元年增4.55%  1-7月達55.14億元	"味全公司(1201)7月營收(單位:千元)

項目            7月營收      1-7月營收
本年度        1,050,451      5,513,913
去年同期      1,004,715      5,420,222
增減金額         45,736         93,691
增減(％)           4.55           1.73
"	
